CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LR-00127"	"materialeB0"	73	2160	15	0
"LR-00128"	"materialeB0"	256	2095	15	0
"LR-00129"	"materialeB0"	381	2095	15	0
"LR-00130"	"materialeB0"	221	2095	15	0
"LR-00131"	"materialeB0"	73	2095	15	0
"LR-00132"	"materialeB0"	443	2160	15	0
"LR-00133"	"materialeB0"	446	2160	15	0
"LR-00134"	"materialeB0"	146	2160	15	0
"LR-00135"	"materialeB0"	353	2160	15	0
"LR-00136"	"materialeB0"	495	2160	15	0
"LR-00137"	"materialeB0"	55	2160	15	0
"LR-00138"	"materialeB0"	470	2160	15	0
"LR-00139"	"materialeB0"	391	2160	15	0
"LR-00140"	"materialeB0"	160	2160	15	0
"LR-00141"	"materialeB0"	586	2160	15	0
"LR-00142"	"materialeB0"	36	2160	15	0
"LR-00143"	"materialeB0"	343	2160	15	0
"LR-00144"	"materialeB0"	586	2095	15	0
"LR-00145"	"materialeB0"	134	2095	15	0
"LR-00146"	"materialeB0"	147	2095	15	0
"LR-00147"	"materialeB0"	36	2095	15	0
"LR-00148"	"materialeB0"	343	2095	15	0
"LR-00149"	"materialeB0"	268	2095	15	0
"LR-00150"	"materialeB0"	313	2095	15	0
"LR-00151"	"materialeB0"	531	2095	15	0
"LR-00152"	"materialeB0"	60	2095	15	0
"LR-00153"	"materialeB0"	117	2095	15	0
"LR-00154"	"materialeB0"	443	2095	15	0
"LR-00155"	"materialeB0"	38	2095	15	0
"LR-00156"	"materialeB0"	146	2095	15	0
"LR-00157"	"materialeB0"	271	2095	15	0
"LR-00158"	"materialeB0"	287	2095	15	0
"LR-00159"	"materialeB0"	395	2095	15	0
"LR-00160"	"materialeB0"	433	2095	15	0
"LR-00161"	"materialeB0"	160	2095	15	0
"LR-00162"	"materialeB0"	401	2160	15	0
"LR-00163"	"materialeB0"	151	2160	15	0
"LR-00164"	"materialeB0"	389	2160	15	0
"LR-00165"	"materialeB0"	358	2160	15	0
"LR-00166"	"materialeB0"	145	2160	15	0
"LR-00167"	"materialeB0"	410	2160	15	0
"LR-00168"	"materialeB0"	78	2095	15	0
"LR-00169"	"materialeB0"	495	2095	15	0
"LR-00170"	"materialeB0"	55	2095	15	0
"LR-00171"	"materialeB0"	353	2095	15	0
"LR-00172"	"materialeB0"	423	2095	15	0
"LR-00173"	"materialeB0"	125	2095	15	0
"LR-00174"	"materialeB0"	461	2095	15	0
"LR-00175"	"materialeB0"	50	2095	15	0
"LR-00176"	"materialeB0"	88	2160	15	0
"LR-00177"	"materialeB0"	460	2160	15	0
"LR-00178"	"materialeB0"	41	2160	15	0
"LR-00179"	"materialeB0"	283	2160	15	0
"LR-00180"	"materialeB0"	283	2095	15	0
"LR-00181"	"materialeB0"	41	2095	15	0
"LR-00182"	"materialeB0"	88	2095	15	0
"LR-00183"	"materialeB0"	460	2095	15	0
"LR-00184"	"materialeB0"	229	2095	15	0
"LR-00185"	"materialeB0"	68	2095	15	0
"LR-00186"	"materialeB0"	520	2095	15	0
"LR-00187"	"materialeB0"	511	2095	15	0
"LR-00188"	"materialeB0"	716	163	15	0
"LR-00189"	"materialeB0"	425	2160	15	0
"LR-00190"	"materialeB0"	125	2160	15	0
"LR-00191"	"materialeB0"	461	2160	15	0
"LR-00192"	"materialeB0"	347	2160	15	0
"LR-00193"	"materialeB0"	207	2160	15	0
"LR-00194"	"materialeB0"	365	2160	15	0
"LR-00195"	"materialeB0"	136	2160	15	0
"LR-00196"	"materialeB0"	171	2160	15	0
"LR-00197"	"materialeB0"	51	2160	15	0
"LR-00198"	"materialeB0"	186	2160	15	0
"LR-00199"	"materialeB0"	330	2160	15	0
"LR-00200"	"materialeB0"	529	2160	15	0
"LR-00201"	"materialeB0"	382	2160	15	0
"LR-00202"	"materialeB0"	367	2160	15	0
"LR-00203"	"materialeB0"	300	2160	15	0
"LR-00204"	"materialeB0"	178	2160	15	0
"LR-00205"	"materialeB0"	309	2160	15	0
"LR-00206"	"materialeB0"	369	2160	15	0
"LR-00207"	"materialeB0"	66	2160	15	0
"LR-00208"	"materialeB0"	450	2160	15	0
"LR-00209"	"materialeB0"	173	2160	15	0
"LR-00210"	"materialeB0"	234	2160	15	0
"LR-00211"	"materialeB0"	348	2160	15	0
"LR-00212"	"materialeB0"	420	2160	15	0
"LR-00213"	"materialeB0"	318	2160	15	0
"LR-00214"	"materialeB0"	81	2160	15	0
"LR-00215"	"materialeB0"	98	2160	15	0
