CODPAN______	DESCRIZIONE	LUNG1	LUNG2	SPESS	HALT	ANG	FINITURA______	FORI 	___	RIGHE	TIPO	UM__
"LM-00262"	"Pannello"	500	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00263"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00264"	"Angolo"	83	350	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00265"	"Angolo"	430	83	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00266"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00267"	"Pannello"	500	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00268"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00269"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00270"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00271"	"Angolo"	83	430	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00272"	"Angolo"	350	83	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00273"	"Angolo"	327	78	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00274"	"Angolo"	50	335	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00275"	"Angolo"	450	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00276"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00277"	"Pannello"	294	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00278"	"Angolo"	60	140	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00279"	"Angolo"	125	50	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00280"	"Angolo"	78	244	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00281"	"Pannello"	402	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00282"	"Angolo"	244	78	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00283"	"Angolo"	50	125	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00284"	"Angolo"	140	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00285"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00286"	"Pannello"	555	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00287"	"Pannello"	555	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00288"	"Angolo"	155	43	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00289"	"Angolo"	78	444	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00290"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00291"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00292"	"Angolo"	444	78	28	2160	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00293"	"Angolo"	43	155	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00294"	"Pannello"	555	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00295"	"Angolo"	100	340	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00296"	"Angolo"	60	150	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00297"	"Angolo"	430	50	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00298"	"Angolo"	78	548	28	2160	90	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00299"	"Pannello"	418	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00300"	"Pannello"	470	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00301"	"Angolo"	170	218	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00302"	"Pannello"	560	0	28	323	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00303"	"Pannello"	360	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00304"	"Pannello"	560	0	28	1062	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00305"	"Pannello"	230	0	28	2160	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00306"	"Angolo"	430	50	28	2160	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00307"	"Angolo"	430	135	28	2160	249	"A"	"Si"	"_"	4	"SPC"	"Nr"
"LM-00308"	"Angolo"	400	74	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00309"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00310"	"Angolo"	57	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00311"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00312"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00313"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00314"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00315"	"Angolo"	60	135	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00316"	"Angolo"	135	458	28	2160	201	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00317"	"Angolo"	458	135	28	2160	201	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00318"	"Angolo"	135	60	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00319"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00320"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00321"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00322"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00323"	"Angolo"	430	57	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00324"	"Angolo"	74	400	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00325"	"Angolo"	135	430	28	2160	249	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00326"	"Angolo"	50	430	28	2160	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00327"	"Pannello"	230	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00328"	"Angolo"	218	170	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00329"	"Angolo"	170	218	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00330"	"Pannello"	560	0	28	258	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00331"	"Pannello"	360	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00332"	"Pannello"	230	0	28	2095	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00333"	"Angolo"	430	50	28	2095	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00334"	"Angolo"	430	135	28	2095	249	"A"	"Si"	"_"	4	"SPC"	"Nr"
"LM-00335"	"Angolo"	400	74	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00336"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00337"	"Angolo"	57	430	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00338"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00339"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00340"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00341"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00342"	"Angolo"	60	135	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00343"	"Angolo"	135	458	28	2095	201	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00344"	"Angolo"	458	135	28	2095	201	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00345"	"Angolo"	135	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00346"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	6	"STD"	"Nr"
"LM-00347"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00348"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00349"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00350"	"Angolo"	430	57	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00351"	"Angolo"	74	400	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00352"	"Angolo"	135	430	28	2095	249	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00353"	"Angolo"	50	430	28	2095	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00354"	"Pannello"	230	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00355"	"Angolo"	218	170	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00356"	"Angolo"	94	149	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00357"	"Angolo"	149	47	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00358"	"Angolo"	170	417	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00359"	"Pannello"	178	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00360"	"Pannello"	170	0	28	2160	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00361"	"Angolo"	190	135	28	2160	249	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00362"	"Angolo"	40	430	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00363"	"Angolo"	60	94	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00364"	"Angolo"	135	458	28	2160	201	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00365"	"Angolo"	170	158	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00366"	"Pannello"	300	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00367"	"Angolo"	158	170	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00368"	"Angolo"	110	80	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00369"	"Angolo"	80	144	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00370"	"Angolo"	80	125	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00371"	"Angolo"	100	80	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00372"	"Angolo"	160	225	28	1915	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00373"	"Pannello"	590	0	28	1915	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00374"	"Angolo"	170	100	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00375"	"Angolo"	65	74	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00376"	"Angolo"	60	200	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00377"	"Angolo"	200	60	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00378"	"Angolo"	74	65	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00379"	"Angolo"	100	170	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00380"	"Angolo"	80	100	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00381"	"Angolo"	125	80	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00382"	"Angolo"	144	80	28	2095	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00383"	"Angolo"	80	110	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00384"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00385"	"Pannello"	340	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00386"	"Angolo"	122	60	28	2095	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00387"	"Angolo"	46	430	28	2095	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00388"	"Angolo"	135	46	28	2095	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00389"	"Pannello"	600	0	28	2095	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00390"	"Angolo"	170	158	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00391"	"Pannello"	300	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00392"	"Angolo"	158	170	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00393"	"Pannello"	242	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00394"	"Angolo"	430	46	28	2160	90	"A"	"Si"	"_"	4	"SPC"	"Nr"
"LM-00395"	"Angolo"	170	326	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00396"	"Angolo"	400	122	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00397"	"Angolo"	155	135	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00398"	"Angolo"	135	155	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00399"	"Angolo"	122	400	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00400"	"Angolo"	326	170	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00401"	"Angolo"	46	430	28	2160	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00402"	"Angolo"	174	209	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00403"	"Angolo"	346	254	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00404"	"Angolo"	253	60	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00405"	"Angolo"	430	136	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00406"	"Pannello"	195	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00407"	"Angolo"	136	170	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00408"	"Pannello"	560	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00409"	"Pannello"	560	0	28	2095	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00410"	"Pannello"	422	0	28	2160	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00411"	"Angolo"	40	248	28	2160	90	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00412"	"Angolo"	170	430	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00413"	"Angolo"	323	119	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00414"	"Angolo"	453	83	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00415"	"Pannello"	450	0	28	2160	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00416"	"Pannello"	700	0	28	1310	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00417"	"Pannello"	700	0	28	710	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00418"	"Pannello"	700	0	28	140	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00419"	"Angolo"	170	357	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00420"	"Angolo"	40	133	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00421"	"Angolo"	40	208	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00422"	"Angolo"	210	110	28	2160	270	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00423"	"Pannello"	585	0	28	2160	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00424"	"Angolo"	290	310	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00425"	"Angolo"	160	430	28	2160	270	"A"	"Si"	"_"	5	"SPC"	"Nr"
"LM-00426"	"Angolo"	250	160	28	2160	90	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00427"	"Angolo"	297	303	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00428"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00429"	"Angolo"	386	100	28	2160	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00430"	"Angolo"	430	170	28	2160	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00431"	"Angolo"	119	430	28	2160	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00432"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00433"	"Pannello"	590	0	28	2160	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00434"	"Angolo"	50	75	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00435"	"Angolo"	50	50	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00436"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00437"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	8	"STD"	"Nr"
"LM-00438"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00439"	"Angolo"	250	43	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00440"	"Angolo"	257	251	28	2160	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00441"	"Pannello"	600	0	28	2160	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00442"	"Pannello"	450	0	28	2160	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00443"	"Angolo"	90	40	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00444"	"Angolo"	90	90	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00445"	"Angolo"	158	180	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00446"	"Angolo"	245	90	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00447"	"Angolo"	90	245	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00448"	"Pannello"	390	0	28	2180	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00449"	"Pannello"	130	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00450"	"Pannello"	214	0	28	2180	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00451"	"Pannello"	600	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00452"	"Pannello"	565	0	28	165	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00453"	"Pannello"	565	0	28	690	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00454"	"Pannello"	440	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00455"	"Angolo"	350	53	28	2180	90	"A"	"Si"	"_"	2	"SPC"	"Nr"
"LM-00456"	"Pannello"	340	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00457"	"Pannello"	590	0	28	2180	0	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00458"	"Angolo"	292	227	28	2180	258	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00459"	"Angolo"	161	40	28	2180	108	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00460"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00461"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00462"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00463"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00464"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00465"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	5	"STD"	"Nr"
"LM-00466"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00467"	"Angolo"	360	240	28	2180	90	"A"	"Si"	"_"	4	"STD"	"Nr"
"LM-00468"	"Angolo"	40	40	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00469"	"Angolo"	158	60	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00470"	"Angolo"	245	60	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00471"	"Angolo"	60	245	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00472"	"Pannello"	480	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00473"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00474"	"Angolo"	139	231	28	2180	102	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00475"	"Angolo"	158	76	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00476"	"Pannello"	400	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00477"	"Angolo"	250	65	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00478"	"Angolo"	65	338	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00479"	"Angolo"	285	45	28	2180	107	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00480"	"Pannello"	590	0	28	2180	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00481"	"Angolo"	80	164	28	2180	264	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00482"	"Angolo"	165	200	28	2180	90	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00483"	"Pannello"	175	0	28	2180	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00484"	"Pannello"	550	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00485"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00486"	"Angolo"	153	70	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00487"	"Angolo"	100	164	28	2180	264	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00488"	"Pannello"	164	0	28	2180	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00489"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00490"	"Angolo"	396	45	28	2180	108	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00491"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00492"	"Pannello"	500	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00493"	"Angolo"	397	85	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00494"	"Angolo"	430	100	28	2180	270	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00495"	"Pannello"	360	0	28	2180	0	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00496"	"Angolo"	52	131	28	2180	115	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00497"	"Pannello"	500	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00498"	"Angolo"	65	430	28	2180	155	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00499"	"Angolo"	350	65	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00500"	"Pannello"	500	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00501"	"Pannello"	300	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00502"	"Pannello"	405	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00503"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00504"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00505"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00506"	"Angolo"	158	84	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00507"	"Angolo"	430	170	28	2180	90	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00508"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00509"	"Pannello"	340	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00510"	"Angolo"	100	430	28	2180	270	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00511"	"Angolo"	84	158	28	2180	270	"A"	"No"	"_"	1	"SPC"	"Nr"
"LM-00512"	"Pannello"	340	0	28	2180	0	"A"	"Si"	"_"	2	"SPC"	"Nr"
"LM-00513"	"Angolo"	53	350	28	2180	90	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00514"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00515"	"Angolo"	170	430	28	2180	90	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00516"	"Angolo"	65	350	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00517"	"Angolo"	430	65	28	2180	155	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00518"	"Pannello"	500	0	28	2180	0	"A"	"Si"	"_"	2	"STD"	"Nr"
"LM-00519"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	5	"STD"	"Nr"
"LM-00520"	"Angolo"	131	52	28	2180	115	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00521"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00522"	"Pannello"	360	0	28	2180	0	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00523"	"Angolo"	85	397	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00524"	"Pannello"	600	0	28	2180	0	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00525"	"Angolo"	30	133	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00526"	"Angolo"	133	227	28	2180	270	"A"	"Si"	"_"	3	"STD"	"Nr"
"LM-00527"	"Angolo"	432	158	28	2180	270	"A"	"Si"	"_"	3	"SPC"	"Nr"
"LM-00528"	"Angolo"	41	117	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00529"	"Angolo"	213	387	28	2180	90	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00530"	"Angolo"	130	470	28	2180	270	"A"	"No"	"_"	1	"STD"	"Nr"
"LM-00531"	"Angolo"	118	482	28	2180	151	"A"	"No"	"_"	1	"STD"	"Nr"
